NO2,PM2.5,PM10,O3,tavg,prcp,wdir,wspd,pres,year,month,day,day_of_week,week_of_year,is_spring,is_summer,is_autumn,is_winter
0.6555719772243411,0.3123123714929481,0.1799220663658187,0.16913407190559135,0.22191011235955055,0.023529411764705882,0.9108635097493036,0.0975609756097561,0.527240773286465,2021,1,8,4,1,0,0,0,1
0.875056768513098,0.4946922071353027,0.3102995604621259,0.15879431649720366,0.16573033707865167,0.029411764705882353,0.8022284122562674,0.0894308943089431,0.6678383128295238,2021,1,9,5,1,0,0,0,1
0.2749276119422575,0.4375841659604937,0.259452019967438,0.43654962304376194,0.2247191011235955,0.0,0.6239554317548747,0.22357723577235772,0.6713532513180986,2021,1,10,6,1,0,0,0,1
0.36513507624700403,0.45228241662232554,0.3494130531503474,0.41249590473820585,0.3202247191011236,0.07058823529411765,0.6072423398328691,0.6544715447154472,0.5377855887521967,2021,1,11,0,2,0,0,0,1
0.3318063806496155,0.13092774701272428,0.3050852429681274,0.5778118956186223,0.33707865168539325,0.9352941176470588,0.7938718662952646,0.46341463414634154,0.40773286467486614,2021,1,12,1,2,0,0,0,1
0.30377257942997843,0.08067779463834092,0.35853871991316805,0.5386885746759579,0.30617977528089885,0.047058823529411764,0.7604456824512534,0.4024390243902439,0.5254833040421794,2021,1,13,2,2,0,0,0,1
0.4309918017079118,0.21952124759408523,0.28552849662401664,0.34280872028953624,0.22191011235955055,0.0,0.15041782729805014,0.3658536585365854,0.5975395430579944,2021,1,14,3,2,0,0,0,1
0.6853357414558464,0.48076253539075997,0.35723575168799165,0.15239658082869842,0.21629213483146065,0.0,0.9972144846796658,0.14634146341463417,0.7451669595782064,2021,1,15,4,2,0,0,0,1
0.5191306607723667,0.535719212502217,0.464145150171366,0.20770110977991751,0.20786516853932582,0.17058823529411765,0.5264623955431755,0.41463414634146345,0.6643233743409489,2021,1,16,5,2,0,0,0,1
0.38413316777491047,0.41984444488238115,0.3624500691819902,0.4248417379474404,0.2780898876404494,0.12941176470588237,0.6796657381615598,0.22357723577235772,0.5711775043936704,2021,1,17,6,2,0,0,0,1
0.4254343939747934,0.3027938172095987,0.37288114876328027,0.3944344791739725,0.3202247191011236,0.011764705882352941,0.6350974930362117,0.45934959349593507,0.611599297012301,2021,1,18,0,3,0,0,0,1
0.17746952876227579,0.23690295541585374,0.24380662289214938,0.5558939584200023,0.40168539325842695,0.9176470588235294,0.6044568245125348,0.9186991869918699,0.36203866432337506,2021,1,19,1,3,0,0,0,1
0.2538714157082741,0.2044584146253342,0.23207257508568296,0.5176679922024293,0.43258426966292135,0.0,0.5236768802228412,0.8414634146341465,0.17926186291739654,2021,1,20,2,3,0,0,0,1
0.22313635206191113,0.13403162340946864,0.31421090973094806,0.5917545206405999,0.3904494382022472,0.6941176470588236,0.5626740947075209,0.9796747967479675,0.02284710017574554,2021,1,21,3,3,0,0,0,1
0.5162325133291155,0.20860348553823516,0.3116025286873023,0.3771407050287413,0.30056179775280895,0.052941176470588235,0.6323119777158774,0.47560975609756106,0.09314586994727492,2021,1,22,4,3,0,0,0,1
0.5012902531416286,0.41181049602900893,0.2894398458928388,0.3760348642486768,0.27247191011235955,0.023529411764705882,0.5598885793871866,0.3089430894308943,0.15114235500878692,2021,1,23,5,3,0,0,0,1
0.2990788406360173,0.29303549258025735,0.3024768619244816,0.5142534325739765,0.2528089887640449,0.0058823529411764705,0.6908077994428969,0.19512195121951226,0.20913884007029893,2021,1,24,6,3,0,0,0,1
0.48753192818684643,0.38750172437577596,0.26597175027990594,0.44770026430651483,0.2443820224719101,0.17058823529411765,0.7715877437325905,0.2682926829268293,0.32337434094903017,2021,1,25,0,4,0,0,0,1
0.3160660798618129,0.1501389354196638,0.3181222589997702,0.5000437148179782,0.3146067415730337,0.052941176470588235,0.7158774373259053,0.43089430894308944,0.5114235500878728,2021,1,26,1,4,0,0,0,1
0.3743230436848474,0.33109328708721725,0.24641500393579518,0.38714034954560606,0.3146067415730337,0.07647058823529412,0.6183844011142061,0.46341463414634154,0.44639718804920747,2021,1,27,2,4,0,0,0,1
0.7073868633066706,0.3175052059725808,0.21773014623557074,0.0689060823164434,0.33146067415730335,0.6,0.2924791086350975,0.30487804878048785,0.3110720562390128,2021,1,28,3,4,0,0,0,1
0.2239133915937973,0.24243081147481754,0.3963492443762131,0.5479955074617832,0.39606741573033705,0.5882352941176471,0.6852367688022284,0.6382113821138212,0.1634446397188043,2021,1,29,4,4,0,0,0,1
0.19535456366342632,0.2780547727436954,0.286831464849193,0.45301617832571284,0.20224719101123595,0.0,0.16434540389972144,0.6991869918699188,0.2987697715289954,2021,1,30,5,4,0,0,0,1
0.3933211352127539,0.527176162229273,0.4250316574831445,0.2817002085821315,0.14044943820224717,0.0,0.19220055710306408,0.4065040650406504,0.28822495606326726,2021,1,31,6,4,0,0,0,1
