,week_of_year,O3,month,tavg,pres
1979,22,0.6767620674514838,6,0.651685393258427,0.6414762741651998
1980,22,0.7210936967075536,6,0.6320224719101123,0.6520210896309315
1981,23,0.6515900184178695,6,0.5898876404494382,0.6502636203866423
1982,23,0.7364342351396039,6,0.6207865168539326,0.6291739894551824
1983,23,0.7566986953768937,6,0.6320224719101123,0.6221441124780291
1984,23,0.7168509574505901,6,0.6769662921348314,0.5659050966608064
1985,23,0.9337456297191588,6,0.7949438202247191,0.5114235500878728
1986,23,0.9723338044285512,6,0.8567415730337078,0.5219683655536009
1987,23,0.9563610824749696,6,0.8679775280898876,0.5219683655536009
1988,24,0.9877262241830372,6,0.8679775280898876,0.5219683655536009
1989,24,0.9931334108991128,6,0.8146067415730337,0.5043936731107195
1990,24,0.8281354333099227,6,0.7528089887640449,0.5518453427064998
1991,24,0.7690925668476427,6,0.7387640449438202,0.5992970123022836
1992,24,0.6750807282984751,6,0.7191011235955056,0.585237258347977
1993,24,0.9156880472158464,6,0.7780898876404495,0.5307557117750434
1994,24,0.9053569386945314,6,0.7808988764044944,0.4657293497363781
1995,25,0.7479432418332553,6,0.7893258426966292,0.4499121265377859
1996,25,0.7063065590481507,6,0.8061797752808989,0.4411247803163434
1997,25,0.6069816887754759,6,0.7724719101123595,0.5289982425307542
1998,25,0.5200218670166414,6,0.7078651685393259,0.5641476274165207
1999,25,0.610089764295466,6,0.7528089887640449,0.6467486818980639
2000,25,0.5518510583309394,6,0.7556179775280899,0.6678383128295238
2001,25,0.9701048290942768,6,0.8651685393258427,0.553602811950789
2002,26,0.6920103724214262,6,0.7303370786516854,0.54481546572935
2003,26,0.5365873811173123,6,0.696629213483146,0.6045694200351477
2004,26,0.4900613640752587,6,0.699438202247191,0.5694200351493848
2005,26,0.4374565854211563,6,0.7134831460674157,0.5096660808435836
2006,26,0.5764264721565432,6,0.6741573033707865,0.4833040421792596
2007,26,0.4376756398936625,7,0.6825842696629213,0.3374340949033367
2008,26,0.7169460732083889,7,0.6685393258426966,0.4147627416520194
2009,27,0.6332518924673124,7,0.6544943820224719,0.4217926186291727
2010,27,0.6134063258704292,7,0.6573033707865168,0.4463971880492074
2011,27,0.6217630618434971,7,0.5926966292134831,0.3796133567662565
2012,27,0.5504339296162607,7,0.6432584269662921,0.5483304042179249
2013,27,0.8149662242983291,7,0.7556179775280899,0.5905096660808447
2014,27,0.9019298891180848,7,0.8792134831460674,0.5430579964850608
2015,27,0.5381639968602192,7,0.7977528089887641,0.5729349736379596
2016,28,0.5311705867489337,7,0.7640449438202247,0.611599297012301
