,NO2,PM2.5,PM10,O3
2015-03-09,32.6371,15.9262,16.91,33.7792
2015-03-10,26.1196,18.075,25.4967,41.9512
2015-03-11,36.9358,11.664,14.1367,26.0587
2015-03-12,35.6583,19.324,25.4967,28.1483
2015-03-13,26.3058,22.3054,26.7767,28.2529
2015-03-14,16.3792,24.5928,24.0567,38.685
2015-03-15,10.7896,24.0938,27.0433,32.0239
2015-03-16,28.5608,35.8263,42.19,18.4846
2015-03-17,52.9708,48.8125,62.7233,17.3179
2015-03-18,32.1042,58.0975,77.3367,25.5025
2015-03-19,31.1757,49.7847,65.6262,34.318
2015-03-20,37.385,42.9427,61.4967,30.3954
2015-03-21,9.2088,15.6342,14.4567,59.6933
2015-03-22,8.5967,10.2517,9.1767,48.5642
2015-03-23,28.9496,31.6886,30.03,23.4177
2015-03-24,31.4279,35.5963,38.1367,19.2938
2015-03-25,30.8588,31.03,19.4167,37.0192
2015-03-26,22.2779,11.9241,15.63,45.8321
2015-03-27,12.61,8.9319,20.1633,57.6165
2015-03-28,24.9458,16.1904,14.03,36.8833
2015-03-29,6.7625,9.1033,17.3367,73.63
2015-03-30,7.6938,7.8392,12.1633,74.6404
2015-03-31,5.2025,7.254,15.7367,79.147
2015-04-01,7.2338,8.0117,17.6033,72.6517
2015-04-02,12.797,6.248,15.7367,59.9162
2015-04-03,22.8858,10.2729,17.1767,41.0142
2015-04-04,17.3092,7.4562,12.0033,54.7991
2015-04-05,24.4775,7.8813,9.9767,49.35
2015-04-06,27.6425,10.3775,9.8167,39.8942
2015-04-07,35.9208,27.0754,25.4433,29.8938
2015-04-08,38.6696,23.3811,20.6967,22.6065
2015-04-09,43.9492,30.079,43.31,24.7192
2015-04-10,49.4158,46.9392,60.0033,35.81
2015-04-11,22.4467,21.8283,24.6433,52.2646
2015-04-12,18.2862,13.7816,16.5367,59.2509
2015-04-13,19.3046,7.619,10.03,47.4517
2015-04-14,27.4167,16.4065,21.4967,49.6971
2015-04-15,27.2367,16.5818,25.55,57.0367
2015-04-16,18.1354,5.7913,9.55,49.3178
2015-04-17,12.0642,4.6975,9.07,65.295
2015-04-18,14.1833,8.4593,11.0433,57.9921
2015-04-19,15.1808,10.1888,10.9367,63.6638
2015-04-20,21.8987,13.6776,15.31,53.8609
2015-04-21,29.0983,11.0048,15.63,48.7433
2015-04-22,22.5312,10.7134,14.7233,51.2521
2015-04-23,39.9375,11.7324,25.8167,37.51
2015-04-24,31.2658,30.5501,37.1233,55.4374
2015-04-25,14.5775,15.1614,18.4567,56.505
2015-04-26,13.3879,9.4908,10.7233,52.4646
2015-04-27,15.0008,5.6671,11.79,48.305
2015-04-28,17.1467,7.7913,12.8033,43.8378
2015-04-29,17.5388,10.8833,11.8967,51.1108
2015-04-30,11.1163,9.256,11.47,62.5354
2015-05-01,21.14,5.8562,13.55,57.4133
2015-05-02,18.5746,8.695,14.4033,61.5978
2015-05-03,11.3654,9.1454,11.2567,47.7133
2015-05-04,12.7558,7.0313,13.4967,61.8779
2015-05-05,10.5179,6.5521,13.9767,65.5792
2015-05-06,7.7958,6.9655,15.15,77.0533
2015-05-07,11.4662,7.8895,19.79,66.9704
2015-05-08,28.1142,14.8244,19.8433,47.8462
2015-05-09,7.1596,8.2213,14.5633,78.1021
2015-05-10,20.9633,11.2217,16.6967,57.887
2015-05-11,21.5563,14.0789,15.4167,50.7833
2015-05-12,12.5138,7.208,13.07,58.5488
2015-05-13,15.5758,8.7238,14.9367,57.0829
2015-05-14,12.0288,5.8182,8.75,58.1343
2015-05-15,11.9,8.7505,16.75,67.3254
2015-05-16,12.4325,14.1758,13.3367,60.4979
2015-05-17,8.4325,10.076,13.2833,67.6062
2015-05-18,11.0146,11.5363,15.63,65.0581
2015-05-19,8.3567,6.0985,12.27,65.7437
2015-05-20,9.2967,8.3574,8.43,61.6912
2015-05-21,11.9487,11.3148,9.6567,58.4075
2015-05-22,15.3833,16.5272,23.63,57.5113
2015-05-23,12.7188,16.4317,16.9633,54.63
2015-05-24,9.8588,10.9724,16.0567,62.7675
2015-05-25,9.4596,9.654,14.03,56.9583
2015-05-26,15.9058,7.4462,10.35,46.5696
2015-05-27,15.0542,13.7796,16.0033,53.4408
2015-05-28,7.6708,8.8203,12.43,68.9333
2015-05-29,10.8079,11.0622,16.0033,63.1646
2015-05-30,6.4808,6.3607,6.2967,52.8635
2015-05-31,12.2012,,11.31,42.6946
2015-06-01,10.1617,12.9,14.51,55.8883
2015-06-02,9.3621,4.9865,10.19,56.8196
2015-06-03,8.69,8.7518,21.6567,54.5226
2015-06-04,17.6212,9.3297,19.47,60.8467
2015-06-05,22.56,14.9386,24.8033,74.6662
2015-06-06,5.4354,7.6198,10.9367,59.0438
2015-06-07,8.0912,6.916,14.0833,59.2513
2015-06-08,10.655,5.3855,12.3767,59.6625
2015-06-09,7.8362,7.072,12.4833,65.0675
2015-06-10,10.0133,9.1405,14.6167,70.8262
2015-06-11,11.7117,9.6425,15.63,86.603
2015-06-12,18.9004,13.1807,25.0845,88.135
2015-06-13,7.16,10.1609,15.6833,81.7442
2015-06-14,6.9521,14.6383,21.0167,75.1075
2015-06-15,6.0688,4.7764,8.6433,67.7643
2015-06-16,16.0467,6.2158,12.27,46.5212
2015-06-17,18.0992,12.1123,14.6167,50.8008
